# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_04
 # Operator: Dominic
 # Date: Tue Feb 26 11:16:57 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
-544.885                -2.66439666667e-07      --                      --                      21.2                    19.7                    
-549.876666667          -2.70211e-07            --                      --                      21.2                    19.7                    
-554.870666667          -2.73335333333e-07      --                      --                      21.2                    19.7                    
-559.888                -2.75922666667e-07      --                      --                      21.2                    19.7                    
-564.876666667          -2.79632333333e-07      --                      --                      21.2                    19.7                    
-569.872                -2.82479666667e-07      --                      --                      21.2                    19.7                    
-574.887                -2.85652e-07            --                      --                      21.2                    19.7                    
-579.879                -2.88846666667e-07      --                      --                      21.2                    19.7                    
-584.872333333          -2.92382666667e-07      --                      --                      21.2                    19.7                    
-589.889333333          -2.95587666667e-07      --                      --                      21.3                    19.8                    
-594.882333333          -2.99659666667e-07      --                      --                      21.3                    19.8                    
-599.875                -3.02932333333e-07      --                      --                      21.3                    19.8                    
-604.868333333          -3.06216666667e-07      --                      --                      21.3                    19.8                    
-609.885                -3.10024e-07            --                      --                      21.3                    19.8                    
-614.882                -3.13941333333e-07      --                      --                      21.3                    19.8                    
-619.874                -3.17006e-07            --                      --                      21.3                    19.8                    
-624.891                -3.20806e-07            --                      --                      21.3                    19.9                    
-629.884666667          -3.25244666667e-07      --                      --                      21.3                    19.9                    
-634.874                -3.28733333333e-07      --                      --                      21.3                    19.9                    
-639.871333333          -3.33474e-07            --                      --                      21.3                    19.9                    
-644.889333333          -3.37042e-07            --                      --                      21.3                    19.9                    
-649.879666667          -3.41065e-07            --                      --                      21.3                    19.9                    
-654.873                -3.45549333333e-07      --                      --                      21.3                    20.0                    
-659.891666667          -3.49827e-07            --                      --                      21.3                    20.0                    
-664.880333333          -3.54088666667e-07      --                      --                      21.3                    20.0                    
-669.873333333          -3.58404333333e-07      --                      --                      21.3                    20.0                    
-674.890666667          -3.62696666667e-07      --                      --                      21.3                    20.0                    
-679.882666667          -3.67073333333e-07      --                      --                      21.3                    20.0                    
-684.871666667          -3.71889333333e-07      --                      --                      21.3                    20.1                    
-689.869333333          -3.76260333333e-07      --                      --                      21.3                    20.1                    
-694.886                -3.79959666667e-07      --                      --                      21.3                    20.1                    
-699.877666667          -3.85388333333e-07      --                      --                      21.3                    20.1                    
-704.869666667          -3.90046e-07            --                      --                      21.3                    20.1                    
-709.886333333          -3.95044e-07            --                      --                      21.3                    20.1                    
-714.881333333          -4.00419e-07            --                      --                      21.3                    20.1                    
-719.869333333          -4.04865666667e-07      --                      --                      21.3                    20.2                    
-724.887333333          -4.09028333333e-07      --                      --                      21.3                    20.2                    
-729.88                 -4.14235666667e-07      --                      --                      21.3                    20.2                    
-734.873666667          -4.20406333333e-07      --                      --                      21.3                    20.2                    
-739.866666667          -4.25526333333e-07      --                      --                      21.3                    20.2                    
-744.888333333          -4.29759333333e-07      --                      --                      21.3                    20.2                    
-749.878333333          -4.34915333333e-07      --                      --                      21.3                    20.3                    
-754.867666667          -4.40961333333e-07      --                      --                      21.3                    20.3                    
-759.884666667          -4.45756666667e-07      --                      --                      21.3                    20.3                    
-764.876666667          -4.51335333333e-07      --                      --                      21.3                    20.3                    
-769.870333333          -4.56804666667e-07      --                      --                      21.3                    20.3                    
-774.861666667          -4.63257666667e-07      --                      --                      21.3                    20.3                    
-779.881                -4.68244e-07            --                      --                      21.3                    20.3                    
-784.869333333          -4.74189333333e-07      --                      --                      21.3                    20.3                    
-789.862333333          -4.79272666667e-07      --                      --                      21.3                    20.3                    
-794.884                -4.84637666667e-07      --                      --                      21.3                    20.3                    
-799.877333333          -4.91234666667e-07      --                      --                      21.3                    20.3                    
-804.869333333          -4.96473333333e-07      --                      --                      21.3                    20.3                    
-809.888666667          -5.03166333333e-07      --                      --                      21.3                    20.3                    
-814.877333333          -5.09089333333e-07      --                      --                      21.2                    20.4                    
-819.867                -5.14588333333e-07      --                      --                      21.2                    20.4                    
-824.859666667          -5.21296e-07            --                      --                      21.2                    20.4                    
-829.877333333          -5.26944e-07            --                      --                      21.2                    20.4                    
-834.867666667          -5.33648333333e-07      --                      --                      21.2                    20.4                    
-839.860333333          -5.39759666667e-07      --                      --                      21.2                    20.4                    
-844.88                 -5.46300333333e-07      --                      --                      21.2                    20.4                    
-849.872666667          -5.52685333333e-07      --                      --                      21.2                    20.4                    
-854.865                -5.59121333333e-07      --                      --                      21.2                    20.4                    
-859.853666667          -5.65431666667e-07      --                      --                      21.2                    20.4                    
-864.873666667          -5.72257333333e-07      --                      --                      21.2                    20.4                    
-869.865333333          -5.78803e-07            --                      --                      21.2                    20.4                    
-874.856666667          -5.85031333333e-07      --                      --                      21.2                    20.4                    
-879.875                -5.92332e-07            --                      --                      21.2                    20.4                    
-884.866666667          -5.98475e-07            --                      --                      21.2                    20.4                    
-889.856333333          -6.05810666667e-07      --                      --                      21.2                    20.4                    
-894.873333333          -6.12446e-07            --                      --                      21.2                    20.4                    
-899.871                -6.19523666667e-07      --                      --                      21.2                    20.4                    
-904.859666667          -6.26319333333e-07      --                      --                      21.2                    20.4                    
-909.856                -6.33550333333e-07      --                      --                      21.2                    20.4                    
-914.87                 -6.41063333333e-07      --                      --                      21.2                    20.4                    
-919.863333333          -6.47765e-07            --                      --                      21.2                    20.4                    
-924.853                -6.55513333333e-07      --                      --                      21.2                    20.4                    
-929.872666667          -6.62114333333e-07      --                      --                      21.2                    20.4                    
-934.865666667          -6.69792333333e-07      --                      --                      21.2                    20.4                    
-939.856333333          -6.77448e-07            --                      --                      21.2                    20.4                    
-944.872666667          -6.84538333333e-07      --                      --                      21.2                    20.4                    
-949.865666667          -6.93108666667e-07      --                      --                      21.2                    20.4                    
-954.861                -7.00581e-07            --                      --                      21.2                    20.4                    
-959.850333333          -7.07960333333e-07      --                      --                      21.2                    20.4                    
-964.867666667          -7.16520666667e-07      --                      --                      21.2                    20.4                    
-969.859333333          -7.23497666667e-07      --                      --                      21.2                    20.4                    
-974.852666667          -7.31427e-07            --                      --                      21.2                    20.4                    
-979.871                -7.40017666667e-07      --                      --                      21.2                    20.4                    
-984.863666667          -7.48224333333e-07      --                      --                      21.2                    20.4                    
-989.853666667          -7.55810666667e-07      --                      --                      21.2                    20.4                    
-994.845333333          -7.64270333333e-07      --                      --                      21.2                    20.4                    
-999.864666667          -7.72814666667e-07      --                      --                      21.2                    20.3                    
