# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_20
 # Operator: Dominic
 # Date: Tue Feb 26 09:50:37 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
-504.866666667          -2.77764e-07            --                      --                      21.9                    20.7                    
-509.885666667          -2.80178e-07            --                      --                      21.9                    20.7                    
-514.878                -2.82445333333e-07      --                      --                      21.9                    20.7                    
-519.870666667          -2.84431666667e-07      --                      --                      21.9                    20.7                    
-524.885666667          -2.86164333333e-07      --                      --                      21.9                    20.7                    
-529.877333333          -2.88607333333e-07      --                      --                      21.9                    20.7                    
-534.871666667          -2.91570666667e-07      --                      --                      21.9                    20.7                    
-539.892333333          -2.93357e-07            --                      --                      21.9                    20.8                    
-544.881666667          -2.96309666667e-07      --                      --                      21.9                    20.8                    
-549.873333333          -2.99542e-07            --                      --                      21.9                    20.8                    
-554.867                -3.01882333333e-07      --                      --                      21.9                    20.8                    
-559.882666667          -3.04299e-07            --                      --                      21.9                    20.8                    
-564.876333333          -3.07550666667e-07      --                      --                      21.9                    20.8                    
-569.869                -3.10370333333e-07      --                      --                      21.9                    20.9                    
-574.885333333          -3.13293666667e-07      --                      --                      21.9                    20.9                    
-579.877666667          -3.15788e-07            --                      --                      21.9                    20.9                    
-584.870666667          -3.19421333333e-07      --                      --                      21.9                    20.9                    
-589.888                -3.22502e-07            --                      --                      21.9                    20.9                    
-594.881333333          -3.25108666667e-07      --                      --                      21.9                    20.9                    
-599.870666667          -3.28136333333e-07      --                      --                      21.9                    21.1                    
-604.865                -3.31983e-07            --                      --                      21.9                    21.1                    
-609.884                -3.35298666667e-07      --                      --                      21.9                    21.1                    
-614.88                 -3.38341333333e-07      --                      --                      21.9                    21.1                    
-619.868666667          -3.41512e-07            --                      --                      21.9                    21.1                    
-624.887333333          -3.45415333333e-07      --                      --                      21.9                    21.1                    
-629.878                -3.48139333333e-07      --                      --                      21.9                    21.1                    
-634.869333333          -3.52342e-07            --                      --                      21.9                    21.2                    
-639.864333333          -3.55964333333e-07      --                      --                      21.9                    21.2                    
-644.884333333          -3.59611e-07            --                      --                      21.9                    21.2                    
-649.875333333          -3.63219e-07            --                      --                      21.9                    21.2                    
-654.868333333          -3.66920666667e-07      --                      --                      21.9                    21.2                    
-659.884                -3.70906e-07            --                      --                      21.9                    21.2                    
-664.875333333          -3.74841666667e-07      --                      --                      21.9                    21.3                    
-669.870333333          -3.78795333333e-07      --                      --                      21.9                    21.3                    
-674.887666667          -3.82531e-07            --                      --                      21.9                    21.3                    
-679.877666667          -3.85938e-07            --                      --                      21.9                    21.3                    
-684.870333333          -3.90134e-07            --                      --                      21.9                    21.3                    
-689.865                -3.94650333333e-07      --                      --                      21.9                    21.3                    
-694.885333333          -3.98952666667e-07      --                      --                      21.9                    21.3                    
-699.875666667          -4.02849333333e-07      --                      --                      21.9                    21.4                    
-704.868                -4.07428333333e-07      --                      --                      21.9                    21.4                    
-709.885333333          -4.12162666667e-07      --                      --                      21.9                    21.4                    
-714.878666667          -4.16295666667e-07      --                      --                      21.9                    21.4                    
-719.869666667          -4.20480333333e-07      --                      --                      21.9                    21.4                    
-724.885666667          -4.2456e-07             --                      --                      21.9                    21.4                    
-729.877666667          -4.3023e-07             --                      --                      21.9                    21.4                    
-734.870666667          -4.34299666667e-07      --                      --                      21.9                    21.4                    
-739.861333333          -4.38806666667e-07      --                      --                      21.9                    21.4                    
-744.881333333          -4.44043e-07            --                      --                      21.9                    21.4                    
-749.875333333          -4.48359666667e-07      --                      --                      21.9                    21.4                    
-754.865333333          -4.52232666667e-07      --                      --                      21.9                    21.4                    
-759.883666667          -4.58291e-07            --                      --                      21.9                    21.5                    
-764.876                -4.62309e-07            --                      --                      21.9                    21.5                    
-769.869                -4.68246666667e-07      --                      --                      21.9                    21.5                    
-774.857333333          -4.73086e-07            --                      --                      21.9                    21.5                    
-779.877666667          -4.78196666667e-07      --                      --                      21.9                    21.5                    
-784.869                -4.82780333333e-07      --                      --                      21.9                    21.5                    
-789.86                 -4.87702333333e-07      --                      --                      21.9                    21.5                    
-794.879666667          -4.93264333333e-07      --                      --                      21.8                    21.6                    
-799.874                -4.98186666667e-07      --                      --                      21.8                    21.6                    
-804.863                -5.0341e-07             --                      --                      21.8                    21.6                    
-809.883333333          -5.08957e-07            --                      --                      21.8                    21.6                    
-814.873666667          -5.14327e-07            --                      --                      21.8                    21.6                    
-819.863666667          -5.19947333333e-07      --                      --                      21.8                    21.6                    
-824.856                -5.25359666667e-07      --                      --                      21.8                    21.7                    
-829.875333333          -5.30708333333e-07      --                      --                      21.8                    21.7                    
-834.863                -5.36470333333e-07      --                      --                      21.8                    21.7                    
-839.857                -5.41438e-07            --                      --                      21.8                    21.7                    
-844.875333333          -5.47450666667e-07      --                      --                      21.8                    21.7                    
-849.87                 -5.52818333333e-07      --                      --                      21.8                    21.7                    
-854.864333333          -5.58742e-07            --                      --                      21.8                    21.8                    
-859.853                -5.64354666667e-07      --                      --                      21.8                    21.8                    
-864.871666667          -5.70222666667e-07      --                      --                      21.8                    21.8                    
-869.867666667          -5.76381e-07            --                      --                      21.8                    21.8                    
-874.858                -5.82362666667e-07      --                      --                      21.8                    21.8                    
-879.873666667          -5.88394666667e-07      --                      --                      21.8                    21.8                    
-884.865333333          -5.9497e-07             --                      --                      21.8                    21.8                    
-889.857                -6.00787666667e-07      --                      --                      21.8                    21.8                    
-894.871666667          -6.06486666667e-07      --                      --                      21.8                    21.8                    
-899.869333333          -6.13238e-07            --                      --                      21.8                    21.8                    
-904.86                 -6.18596666667e-07      --                      --                      21.8                    21.8                    
-909.850333333          -6.25963e-07            --                      --                      21.8                    21.8                    
-914.87                 -6.32224e-07            --                      --                      21.8                    21.9                    
-919.861333333          -6.38710333333e-07      --                      --                      21.8                    21.9                    
-924.85                 -6.44618e-07            --                      --                      21.8                    21.9                    
