# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
463	0	-41580	0
464	0	-41670	0
465	0	-41760	0
466	0	-41850	0
467	0	-41940	0
468	0	-42030	0
469	0	-42120	0
470	0	-42210	0
471	0	-42300	0
472	0	-42390	0
473	0	-42480	0
474	0	-42570	0
475	0	-42660	0
476	0	-42750	0
477	0	-42840	0
478	0	-42930	0
479	0	-43020	0
480	0	-43110	0
481	0	-43200	0
482	0	-43290	0
483	0	-43380	0
484	0	-43470	0
485	0	-43560	0
486	0	-43650	0
487	0	-43740	0
488	0	-43830	0
489	0	-43920	0
490	0	-44010	0
491	0	-44100	0
492	0	-44190	0
493	0	-44280	0
494	0	-44370	0
495	0	-44460	0
496	0	-44550	0
497	0	-44640	0
498	0	-44730	0
499	0	-44820	0
500	0	-44910	0
501	0	-45000	0
502	0	-45090	0
503	0	-45180	0
504	0	-45270	0
505	0	-45360	0
506	0	-45450	0
507	0	-45540	0
508	0	-45630	0
509	0	-45720	0
510	0	-45810	0
511	0	-45900	0
512	0	-45990	0
513	0	-46080	0
514	0	-46170	0
515	0	-46260	0
516	0	-46350	0
517	0	-46440	0
518	0	-46530	0
519	0	-46620	0
520	0	-46710	0
521	0	-46800	0
522	0	-46890	0
523	0	-46980	0
524	0	-47070	0
525	0	-47160	0
526	0	-47250	0
527	0	-47340	0
528	0	-47430	0
529	0	-47520	0
530	0	-47610	0
531	0	-47700	0
532	0	-47790	0
533	0	-47880	0
534	0	-47970	0
535	0	-48060	0
536	0	-48150	0
537	0	-48240	0
538	0	-48330	0
539	0	-48420	0
540	0	-48510	0
541	0	-48600	0
542	0	-48690	0
543	0	-48780	0
544	0	-48870	0
545	0	-48960	0
546	0	-49050	0
547	0	-49140	0
548	0	-49230	0
549	0	-49320	0
550	0	-49410	0
551	0	-49500	0
552	0	-49590	0
553	0	-49680	0
554	0	-49770	0
555	0	-49860	0
556	0	-49950	0
557	0	-50040	0
558	0	-50130	0
559	0	-50220	0
560	0	-50310	0
561	0	-50400	0
562	0	-50490	0
563	0	-50580	0
564	0	-50670	0
565	0	-50760	0
566	0	-50850	0
567	0	-50940	0
568	0	-51030	0
569	0	-51120	0
570	0	-51210	0
571	0	-51300	0
572	0	-51390	0
573	0	-51480	0
574	0	-51570	0
575	0	-51660	0
576	0	-51750	0
577	0	-51840	0
578	0	-51930	0
579	0	-52020	0
580	0	-52110	0
581	0	-52200	0
582	0	-52290	0
583	0	-52380	0
584	0	-52470	0
585	0	-52560	0
586	0	-52650	0
587	0	-52740	0
588	0	-52830	0
589	0	-52920	0
590	0	-53010	0
